repository_name,month,clones,unique_cloners
embedded-banking,2024-07,326,107
embedded-banking,2024-08,440,148
embedded-banking,2024-09,255,100
embedded-banking,2024-10,227,80
embedded-banking,2024-11,194,85
embedded-banking,2024-12,268,98
embedded-banking,2025-01,493,167
embedded-banking,2025-02,627,227
embedded-banking,2025-03,561,216
embedded-banking,2025-04,809,256
embedded-banking,2025-05,505,192
embedded-banking,2025-06,631,246
embedded-banking,2025-07,913,348
embedded-banking,2025-08,816,293
embedded-banking,2025-09,798,274
embedded-banking,2025-10,770,299
embedded-banking,2025-11,752,314
